Time,Tair,RH
2021/5/22 00:00,30,79
2021/5/22 01:00,30,79
2021/5/22 02:00,29,84
2021/5/22 03:00,29,84
2021/5/22 04:00,29,79
2021/5/22 05:00,29,79
2021/5/22 06:00,29,79
2021/5/22 07:00,30,74
2021/5/22 08:00,31,75
2021/5/22 09:00,31,75
2021/5/22 10:00,32,70
2021/5/22 11:00,32,70
2021/5/22 12:00,32,70
2021/5/22 13:00,33,66
2021/5/22 14:00,33,63
2021/5/22 15:00,33,66
2021/5/22 16:00,32,70
2021/5/22 17:00,32,70
2021/5/22 18:00,31,75
2021/5/22 19:00,30,79
2021/5/22 20:00,30,79
2021/5/22 21:00,30,74
2021/5/22 22:00,30,79
2021/5/22 23:00,30,74
2021/5/23 00:00,29,79
2021/5/23 01:00,29,79
2021/5/23 02:00,28,84
2021/5/23 03:00,28,84
2021/5/23 04:00,28,84
2021/5/23 05:00,28,84
2021/5/23 06:00,28,84
2021/5/23 07:00,29,84
2021/5/23 08:00,31,75
2021/5/23 09:00,31,70
2021/5/23 10:00,31,75
2021/5/23 11:00,32,70
2021/5/23 12:00,32,70
2021/5/23 13:00,33,71
2021/5/23 14:00,32,75
2021/5/23 15:00,32,75
2021/5/23 16:00,32,70
2021/5/23 17:00,32,66
2021/5/23 18:00,31,70
2021/5/23 19:00,31,62
2021/5/23 20:00,31,70
2021/5/23 21:00,31,70
2021/5/23 22:00,30,74
2021/5/23 23:00,29,84
2021/5/24 00:00,29,84
2021/5/24 01:00,29,84
2021/5/24 02:00,28,89
2021/5/24 03:00,28,84
2021/5/24 04:00,28,84
2021/5/24 05:00,28,84
2021/5/24 06:00,28,84
2021/5/24 07:00,29,79
2021/5/24 08:00,31,70
2021/5/24 09:00,32,66
2021/5/24 10:00,34,59
2021/5/24 11:00,35,53
2021/5/24 12:00,35,56
2021/5/24 13:00,37,47
2021/5/24 14:00,36,50
2021/5/24 15:00,37,47
2021/5/24 16:00,34,63
2021/5/24 17:00,35,56
2021/5/24 18:00,33,63
2021/5/24 19:00,31,66
2021/5/24 20:00,30,74
2021/5/24 21:00,30,79
2021/5/24 22:00,30,74
2021/5/24 23:00,30,79
